
[chart,line,file="../images/CH11_FIG_f_Azure_Data_Eng.png",opt="title=Three SQLDBs,title-color=blue,x-label=Hours,y-label=Requests"]
--
//DB1
1,100
2,200
3,200
4,400
5,200
6,600
7,700
8,800
9,800
10,1000
11,1100
12,900
13,800
14,700
15,500
16,100
17,120
18,150
19,100
20,0
21,0
22,0
23,0

//DB2
1,110
2,120
3,130
4,140
5,150
6,160
7,170
8,180
9,190
10,100
11,110
12,210
13,310
14,440
15,510
16,500
17,500
18,510
19,510
20,860
21,860
22,860
23,840

//DB3
1,210
2,220
3,230
4,240
5,220
6,260
7,420
8,580
9,420
10,100
11,110
12,210
13,210
14,210
15,210
16,120
17,120
18,210
19,120
20,260
21,260
22,260
23,240

--
