
[chart,line,file="../images/CH11_FIG_g_Azure_Data_Eng.png",opt="title=Three SQLDBs,title-color=blue,x-label=Hours,y-label=Requests"]
--
//DB1
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1900
16,1800
17,1120
18,1150
19,0
20,0
21,0
22,0
23,0

//DB2
1,110
2,120
3,150
4,140
5,150
6,170
7,170
8,183
9,190
10,160
11,180
12,210
13,280
14,160
15,120
16,200
17,100
18,110
19,30
20,60
21,60
22,160
23,140

//DB3
1,210
2,220
3,230
4,240
5,220
6,360
7,420
8,780
9,520
10,600
11,510
12,610
13,510
14,650
15,430
16,400
17,320
18,210
19,120
20,150
21,180
22,180
23,160

--
